Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2018","Chlamydia trachomatis infection, Cum 2018, flag","Chlamydia trachomatis infection, Cum 2017","Chlamydia trachomatis infection, Cum 2017, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2018","Coccidioidomycosis, Cum 2018, flag","Coccidioidomycosis, Cum 2017","Coccidioidomycosis, Cum 2017, flag",Location 1,Location 2
MINNESOTA,2018,23,13,,445,,550,,6583,,10289,,2,,1,,7,,34,,33,,"MINNESOTA
(46.357661, -94.793397)",
OHIO,2018,23,590,,1179,,1325,,24498,,26957,,,-,0,,4,,10,,6,,"OHIO
(40.056807, -82.405897)",
MOUNTAIN,2018,23,1274,,2217,,3082,,39168,,51017,,84,,137,,319,,3515,,2485,,,
KENTUCKY,2018,23,,-,288,,461,,1227,,8320,,,-,0,,0,,,-,2,,"KENTUCKY
(37.64591, -84.774043)",
ARKANSAS,2018,23,130,,280,,959,,3098,,5260,,,-,0,,2,,3,,2,,"ARKANSAS
(34.748745, -92.275105)",
OKLAHOMA,2018,23,57,,380,,505,,6056,,9413,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
VIRGIN ISL.,2018,23,,-,8,,21,,,-,252,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW MEXICO,2018,23,107,,249,,464,,5268,,5802,,,-,0,,3,,16,,7,,"NEW MEXICO
(34.520396, -106.244402)",
COLORADO,2018,23,249,,484,,944,,10018,,12400,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
HAWAII,2018,23,,-,133,,167,,1972,,2910,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
NORTH DAKOTA,2018,23,,-,64,,86,,1236,,1391,,,-,0,,1,,,-,4,,"NORTH DAKOTA
(47.475879, -100.121011)",
MID. ATLANTIC,2018,26,2724,,4113,,4483,,103277,,102859,,,-,0,,0,,,-,,-,,
SOUTH DAKOTA,2018,23,,-,81,,110,,1726,,1997,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW ENGLAND,2018,23,151,,1040,,1376,,17892,,28652,,,-,0,,2,,2,,1,,,
NEVADA,2018,23,,-,261,,407,,873,,7091,,,-,2,,10,,8,,58,,"NEVADA
(39.491833, -117.070159)",
IOWA,2018,23,,-,278,,340,,5403,,5918,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
W.S. CENTRAL,2018,23,2864,,4405,,5326,,82372,,97030,,,-,0,,3,,10,,4,,,
NORTH CAROLINA,2018,23,,-,1227,,1391,,22154,,28042,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
MAINE,2018,23,,-,89,,130,,1467,,1847,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
E.N. CENTRAL,2018,24,1547,,4637,,5466,,89951,,114373,,,-,1,,5,,21,,22,,,
WYOMING,2018,24,22,,43,,79,,936,,870,,,-,0,,2,,1,,4,,"WYOMING
(43.23558, -108.110518)",
MAINE,2018,24,,-,89,,130,,1467,,1932,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
ALASKA,2018,24,,-,116,,161,,2488,,2651,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
AMER. SAMOA,2018,24,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
FLORIDA,2018,24,1301,,2044,,2379,,46056,,45599,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
OHIO,2018,24,662,,1185,,1325,,25793,,28133,,,-,0,,4,,10,,6,,"OHIO
(40.056807, -82.405897)",
INDIANA,2018,24,304,,649,,850,,14863,,15718,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
ALABAMA,2018,24,,-,502,,941,,5717,,13297,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
KANSAS,2018,24,104,,264,,311,,5955,,6179,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
MID. ATLANTIC,2018,24,2916,,4113,,4483,,95361,,95177,,,-,0,,0,,,-,,-,,
TEXAS,2018,24,,-,2930,,3912,,58446,,70386,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
UNITED STATES,2018,24,12982,,32302,,36117,,669517,,771690,,225,,284,,556,,6536,,4588,,,
UTAH,2018,24,2,,195,,303,,4494,,4629,,,-,0,,4,,4,,37,,"UTAH
(39.359772, -111.584173)",
NEW HAMPSHIRE,2018,24,91,,77,,136,,1799,,2280,,,-,0,,1,,1,,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
IOWA,2018,24,5,,278,,340,,5843,,6144,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
VERMONT,2018,24,,-,31,,57,,291,,809,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
MICHIGAN,2018,24,212,,941,,1192,,18755,,23167,,,-,0,,3,,11,,12,,"MICHIGAN
(44.66399, -84.711206)",
NEW YORK,2018,24,943,,912,,2111,,20894,,19220,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
MARYLAND,2018,24,325,,684,,1251,,14641,,11314,,,-,0,,2,,3,,4,,"MARYLAND
(39.290443, -76.612333)",
MONTANA,2018,24,45,,93,,153,,2212,,2006,,,-,0,,3,,8,,8,,"MONTANA
(47.062617, -109.430168)",
IDAHO,2018,24,134,,118,,181,,2351,,2749,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
CONNECTICUT,2018,24,,-,185,,428,,449,,9780,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
OKLAHOMA,2018,24,50,,379,,505,,6327,,9809,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
VIRGINIA,2018,24,853,,811,,1607,,19391,,18804,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
WISCONSIN,2018,24,302,,537,,653,,11593,,12550,,,-,0,,1,,,-,4,,"WISCONSIN
(44.395526, -89.834513)",
OREGON,2018,24,367,,378,,540,,9065,,8200,,,-,0,,3,,7,,6,,"OREGON
(44.567912, -120.156945)",
NORTH DAKOTA,2018,24,5,,64,,86,,1363,,1458,,,-,0,,1,,,-,5,,"NORTH DAKOTA
(47.475879, -100.121011)",
S. ATLANTIC,2018,24,3670,,6884,,8515,,146513,,157929,,,-,0,,2,,3,,4,,,
ILLINOIS,2018,24,67,,1295,,1641,,18947,,34805,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
HAWAII,2018,24,,-,133,,167,,1972,,3039,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
SOUTH CAROLINA,2018,24,651,,636,,2106,,15770,,13861,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
W.S. CENTRAL,2018,24,740,,4409,,5326,,83350,,101412,,,-,0,,3,,10,,4,,,
E.S. CENTRAL,2018,24,238,,1848,,2758,,29812,,45471,,,-,0,,0,,,-,2,,,
C.N.M.I.,2018,24,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW JERSEY,2018,24,316,,696,,807,,16280,,16534,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
NEVADA,2018,24,,-,260,,407,,873,,7373,,1,,2,,10,,9,,61,,"NEVADA
(39.491833, -117.070159)",
NEW MEXICO,2018,24,151,,249,,464,,5628,,6054,,,-,0,,3,,17,,7,,"NEW MEXICO
(34.520396, -106.244402)",
ARIZONA,2018,24,633,,734,,1629,,14583,,16437,,207,,137,,314,,3756,,2485,,"ARIZONA
(34.869712, -111.760902)",
KENTUCKY,2018,24,,-,283,,461,,1227,,8695,,,-,0,,0,,,-,2,,"KENTUCKY
(37.64591, -84.774043)",
ARKANSAS,2018,24,190,,280,,959,,3319,,5594,,,-,0,,2,,3,,2,,"ARKANSAS
(34.748745, -92.275105)",
DELAWARE,2018,24,102,,101,,166,,2281,,2530,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
W.N. CENTRAL,2018,24,522,,1952,,2262,,40533,,45163,,2,,2,,9,,51,,50,,,
VIRGIN ISL.,2018,24,,-,5,,21,,,-,265,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MINNESOTA,2018,24,9,,443,,550,,6709,,10748,,1,,1,,7,,35,,36,,"MINNESOTA
(46.357661, -94.793397)",
WASHINGTON,2018,24,657,,593,,838,,12532,,15116,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
NEBRASKA,2018,24,19,,166,,244,,3454,,3863,,,-,0,,1,,2,,,-,"NEBRASKA
(41.640503, -99.367122)",
NEW ENGLAND,2018,24,583,,1027,,1376,,19785,,29923,,,-,0,,2,,2,,1,,,
SOUTH DAKOTA,2018,24,36,,82,,110,,1887,,2080,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
COLORADO,2018,24,392,,482,,918,,10672,,12993,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
MASSACHUSETTS,2018,24,397,,584,,681,,13504,,12984,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
PUERTO RICO,2018,24,,-,96,,212,,2461,,3634,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
WEST VIRGINIA,2018,24,63,,73,,113,,1694,,2105,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
PACIFIC,2018,24,1387,,5516,,6311,,122463,,129131,,15,,147,,270,,2654,,1903,,,
MISSISSIPPI,2018,24,,-,449,,738,,7157,,7260,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
TENNESSEE,2018,24,238,,698,,844,,15711,,16219,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
NORTH CAROLINA,2018,24,1,,1239,,1394,,23152,,29184,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
MISSOURI,2018,24,344,,647,,830,,15322,,14691,,1,,0,,2,,14,,9,,"MISSOURI
(38.636168, -92.566292)",
PENNSYLVANIA,2018,24,904,,1096,,1299,,25771,,26251,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
GEORGIA,2018,24,374,,1226,,1462,,20115,,30471,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
NEW YORK CITY,2018,24,753,,1395,,1581,,32416,,33172,,,N,0,,0,,,N,,N,,
CALIFORNIA,2018,24,363,,4291,,4830,,96406,,100125,,15,,147,,269,,2647,,1897,,"CALIFORNIA
(37.640735, -121.002435)",
DIST. OF COL.,2018,24,,-,173,,318,,3413,,4061,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
GUAM,2018,24,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
RHODE ISLAND,2018,24,95,,103,,532,,2275,,2138,,,-,0,,1,,1,,,-,"RHODE ISLAND
(41.707447, -71.522488)",
LOUISIANA,2018,24,500,,697,,1368,,15258,,15623,,,-,0,,2,,7,,2,,"LOUISIANA
(31.2931, -92.463284)",
MOUNTAIN,2018,24,1379,,2210,,3082,,41749,,53111,,208,,139,,319,,3795,,2602,,,
RHODE ISLAND,2018,25,84,,101,,532,,2370,,2227,,,-,0,,1,,1,,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MINNESOTA,2018,25,10,,437,,550,,6921,,11168,,,-,1,,7,,35,,37,,"MINNESOTA
(46.357661, -94.793397)",
IOWA,2018,25,142,,278,,340,,6344,,6386,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
PENNSYLVANIA,2018,25,820,,1096,,1299,,26744,,27247,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
ALASKA,2018,25,,-,114,,161,,2488,,2775,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
NEVADA,2018,25,,-,255,,407,,873,,7680,,,-,1,,10,,9,,66,,"NEVADA
(39.491833, -117.070159)",
CONNECTICUT,2018,25,,-,154,,428,,449,,10025,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
KANSAS,2018,25,133,,265,,311,,6230,,6437,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
HAWAII,2018,25,,-,133,,167,,1972,,3206,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
OREGON,2018,25,319,,378,,540,,9385,,8740,,,-,0,,3,,8,,6,,"OREGON
(44.567912, -120.156945)",
NEW YORK,2018,25,802,,916,,2111,,21692,,20026,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
AMER. SAMOA,2018,25,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
MAINE,2018,25,,-,89,,130,,1467,,2020,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
E.S. CENTRAL,2018,25,675,,1734,,2758,,30512,,47415,,,-,0,,0,,,-,1,,,
MICHIGAN,2018,25,202,,939,,1192,,19440,,24162,,,-,0,,3,,12,,12,,"MICHIGAN
(44.66399, -84.711206)",
MID. ATLANTIC,2018,25,2747,,4113,,4483,,99385,,98975,,,-,0,,0,,,-,,-,,
FLORIDA,2018,25,976,,2038,,2379,,47743,,47781,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
OHIO,2018,25,595,,1193,,1325,,27054,,29316,,,-,0,,4,,10,,6,,"OHIO
(40.056807, -82.405897)",
INDIANA,2018,25,263,,650,,850,,15400,,16402,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
NEW HAMPSHIRE,2018,25,57,,77,,136,,1858,,2392,,,-,0,,1,,1,,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW YORK CITY,2018,25,832,,1401,,1581,,33935,,34482,,,N,0,,0,,,N,,N,,
KENTUCKY,2018,25,,-,265,,461,,1227,,9009,,,-,0,,0,,,-,1,,"KENTUCKY
(37.64591, -84.774043)",
C.N.M.I.,2018,25,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
CALIFORNIA,2018,25,422,,4295,,4855,,100921,,104204,,11,,147,,269,,2740,,2012,,"CALIFORNIA
(37.640735, -121.002435)",
MASSACHUSETTS,2018,25,,-,584,,681,,13504,,13565,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
TENNESSEE,2018,25,193,,698,,844,,15904,,16820,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
MISSOURI,2018,25,339,,647,,843,,16038,,15305,,,-,0,,2,,14,,9,,"MISSOURI
(38.636168, -92.566292)",
MONTANA,2018,25,79,,93,,153,,2320,,2083,,,-,0,,3,,8,,8,,"MONTANA
(47.062617, -109.430168)",
VIRGINIA,2018,25,809,,811,,1607,,20199,,19553,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
MOUNTAIN,2018,25,1834,,2230,,3082,,47754,,55328,,158,,142,,319,,3883,,2711,,,
PACIFIC,2018,25,1268,,5516,,6336,,127825,,134645,,11,,147,,270,,2748,,2018,,,
IDAHO,2018,25,,-,118,,181,,2351,,2842,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
COLORADO,2018,25,736,,482,,944,,11707,,13576,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
LOUISIANA,2018,25,794,,681,,1367,,16056,,16253,,,-,0,,2,,7,,2,,"LOUISIANA
(31.2931, -92.463284)",
WYOMING,2018,25,31,,43,,79,,972,,930,,,-,0,,2,,1,,5,,"WYOMING
(43.23558, -108.110518)",
W.N. CENTRAL,2018,25,731,,1953,,2262,,42498,,47034,,,-,2,,9,,51,,51,,,
UNITED STATES,2018,25,15240,,32225,,36117,,705228,,803674,,169,,285,,555,,6719,,4813,,,
PUERTO RICO,2018,25,,-,95,,212,,2559,,3748,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
WEST VIRGINIA,2018,25,12,,73,,113,,1708,,2147,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
DIST. OF COL.,2018,25,,-,172,,318,,3413,,4238,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OKLAHOMA,2018,25,62,,371,,505,,6724,,10240,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
DELAWARE,2018,25,204,,102,,166,,2485,,2632,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW JERSEY,2018,25,293,,696,,807,,17014,,17220,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
NEW MEXICO,2018,25,119,,248,,464,,5889,,6298,,,-,1,,4,,20,,9,,"NEW MEXICO
(34.520396, -106.244402)",
NEBRASKA,2018,25,55,,162,,244,,3556,,4052,,,-,0,,1,,2,,,-,"NEBRASKA
(41.640503, -99.367122)",
E.N. CENTRAL,2018,25,1435,,4596,,5466,,94230,,119223,,,-,1,,5,,22,,23,,,
GUAM,2018,25,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
SOUTH DAKOTA,2018,25,46,,82,,110,,1996,,2162,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW ENGLAND,2018,25,141,,1015,,1376,,19939,,31082,,,-,0,,2,,2,,1,,,
ALABAMA,2018,25,,-,492,,941,,5717,,13902,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
S. ATLANTIC,2018,25,3203,,6884,,8515,,152359,,164631,,,-,0,,2,,3,,4,,,
ILLINOIS,2018,25,65,,1259,,1641,,20227,,36304,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
W.S. CENTRAL,2018,25,3206,,4435,,5326,,90726,,105341,,,-,0,,3,,10,,4,,,
ARIZONA,2018,25,745,,790,,1629,,18805,,17115,,158,,139,,314,,3841,,2586,,"ARIZONA
(34.869712, -111.760902)",
NORTH DAKOTA,2018,25,6,,62,,86,,1413,,1524,,,-,0,,1,,,-,5,,"NORTH DAKOTA
(47.475879, -100.121011)",
UTAH,2018,25,124,,196,,303,,4837,,4804,,,-,0,,4,,4,,37,,"UTAH
(39.359772, -111.584173)",
MARYLAND,2018,25,,-,684,,1251,,14641,,11679,,,-,0,,2,,3,,4,,"MARYLAND
(39.290443, -76.612333)",
SOUTH CAROLINA,2018,25,744,,642,,2106,,16513,,14509,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
ARKANSAS,2018,25,230,,261,,959,,3584,,5859,,,-,0,,2,,3,,2,,"ARKANSAS
(34.748745, -92.275105)",
NORTH CAROLINA,2018,25,2,,1240,,1395,,24357,,30334,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
MISSISSIPPI,2018,25,482,,443,,738,,7664,,7684,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
WASHINGTON,2018,25,527,,593,,838,,13059,,15720,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
VIRGIN ISL.,2018,25,,-,4,,21,,,-,286,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
GEORGIA,2018,25,456,,1221,,1462,,21300,,31758,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
TEXAS,2018,25,2120,,2934,,3915,,64362,,72989,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
WISCONSIN,2018,25,310,,539,,653,,12109,,13039,,,-,0,,1,,,-,5,,"WISCONSIN
(44.395526, -89.834513)",
VERMONT,2018,25,,-,29,,57,,291,,853,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
W.N. CENTRAL,2018,26,612,,1953,,2262,,44327,,49036,,,-,2,,9,,54,,54,,,
CALIFORNIA,2018,26,423,,4295,,4863,,105238,,108496,,12,,212,,496,,2845,,3626,,"CALIFORNIA
(37.640735, -121.002435)",
VIRGINIA,2018,26,741,,811,,1607,,20938,,21160,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
DIST. OF COL.,2018,26,,-,163,,318,,3413,,4428,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
GUAM,2018,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VIRGIN ISL.,2018,26,,-,4,,16,,,-,302,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
PUERTO RICO,2018,26,,-,95,,212,,2559,,3808,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
TENNESSEE,2018,26,253,,698,,844,,16157,,17416,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
NEW YORK,2018,26,917,,916,,2111,,22571,,20803,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
GEORGIA,2018,26,560,,1189,,1462,,22572,,33007,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
MOUNTAIN,2018,26,1022,,2221,,3082,,49164,,57717,,192,,143,,319,,4055,,2825,,,
KENTUCKY,2018,26,,-,263,,461,,1227,,9351,,,-,0,,0,,,-,1,,"KENTUCKY
(37.64591, -84.774043)",
PENNSYLVANIA,2018,26,764,,1096,,1299,,27709,,28297,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
WASHINGTON,2018,26,492,,586,,838,,13551,,16344,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
SOUTH DAKOTA,2018,26,31,,81,,110,,2062,,2254,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
E.S. CENTRAL,2018,26,592,,1706,,2758,,31506,,49528,,,-,0,,0,,,-,1,,,
ALABAMA,2018,26,,-,483,,941,,5717,,14513,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
IDAHO,2018,26,108,,122,,181,,2570,,2977,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
MISSOURI,2018,26,386,,647,,849,,16701,,15987,,,-,0,,2,,15,,9,,"MISSOURI
(38.636168, -92.566292)",
RHODE ISLAND,2018,26,73,,103,,532,,2475,,2313,,,-,0,,1,,1,,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ALASKA,2018,26,,-,113,,161,,2488,,2894,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
OHIO,2018,26,492,,1193,,1325,,28170,,30437,,,-,0,,4,,10,,10,,"OHIO
(40.056807, -82.405897)",
W.S. CENTRAL,2018,26,3277,,4443,,5326,,94609,,109766,,,-,0,,3,,10,,4,,,
LOUISIANA,2018,26,524,,696,,1365,,16557,,16993,,,-,0,,2,,7,,2,,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2018,26,74,,93,,153,,2425,,2170,,,-,0,,3,,8,,8,,"MONTANA
(47.062617, -109.430168)",
PACIFIC,2018,26,1262,,5507,,6344,,132981,,140162,,12,,213,,496,,2853,,3633,,,
VERMONT,2018,26,,-,27,,57,,291,,885,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
KANSAS,2018,26,113,,266,,311,,6484,,6710,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
MICHIGAN,2018,26,204,,931,,1189,,20291,,25137,,,-,0,,3,,14,,12,,"MICHIGAN
(44.66399, -84.711206)",
MINNESOTA,2018,26,7,,443,,550,,7440,,11639,,,-,1,,7,,37,,39,,"MINNESOTA
(46.357661, -94.793397)",
OKLAHOMA,2018,26,42,,358,,505,,7017,,10651,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
UNITED STATES,2018,26,14696,,32243,,36117,,733861,,837435,,204,,393,,730,,7001,,6549,,,
SOUTH CAROLINA,2018,26,634,,642,,2106,,17145,,15137,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
IOWA,2018,26,,-,278,,340,,6344,,6651,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
NEBRASKA,2018,26,63,,162,,244,,3814,,4213,,,-,0,,1,,2,,1,,"NEBRASKA
(41.640503, -99.367122)",
ARKANSAS,2018,26,130,,269,,959,,3767,,6019,,,-,0,,2,,3,,2,,"ARKANSAS
(34.748745, -92.275105)",
NEW YORK CITY,2018,26,734,,1403,,1581,,35229,,35821,,,N,0,,0,,,N,,N,,
E.N. CENTRAL,2018,26,1352,,4518,,5466,,97354,,123901,,,-,1,,5,,24,,27,,,
NEW HAMPSHIRE,2018,26,95,,77,,136,,1954,,2464,,,-,0,,1,,1,,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WYOMING,2018,26,22,,43,,79,,1005,,975,,,-,0,,2,,1,,5,,"WYOMING
(43.23558, -108.110518)",
C.N.M.I.,2018,26,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEVADA,2018,26,,-,249,,407,,873,,7982,,,-,1,,10,,10,,69,,"NEVADA
(39.491833, -117.070159)",
NEW ENGLAND,2018,26,168,,1003,,1376,,20731,,32323,,,-,0,,2,,2,,1,,,
OREGON,2018,26,347,,375,,501,,9732,,9071,,,-,0,,3,,8,,7,,"OREGON
(44.567912, -120.156945)",
S. ATLANTIC,2018,26,3687,,6888,,8515,,159912,,172143,,,-,0,,2,,3,,4,,,
NORTH CAROLINA,2018,26,1,,1244,,1397,,25495,,31532,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
AMER. SAMOA,2018,26,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
WEST VIRGINIA,2018,26,33,,73,,113,,1765,,2216,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
MASSACHUSETTS,2018,26,,-,584,,681,,14095,,14147,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
HAWAII,2018,26,,-,133,,162,,1972,,3357,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
NEW MEXICO,2018,26,125,,248,,464,,6134,,6532,,,-,0,,4,,23,,9,,"NEW MEXICO
(34.520396, -106.244402)",
NEW JERSEY,2018,26,309,,701,,807,,17768,,17938,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
NORTH DAKOTA,2018,26,12,,62,,86,,1482,,1582,,,-,0,,1,,,-,5,,"NORTH DAKOTA
(47.475879, -100.121011)",
