REGION,YEAR,WEEK,"Hepatitis B, perinatal infection, Current week","Hepatitis B, perinatal infection, Current week, flag","Hepatitis B, perinatal infection, Previous 52 weeks Max† ","Hepatitis B, perinatal infection, Previous 52 weeks Max† , flag","Hepatitis B, perinatal infection, Cum 2019†","Hepatitis B, perinatal infection, Cum 2019†, flag","Hepatitis B, perinatal infection, Cum 2018†","Hepatitis B, perinatal infection, Cum 2018†, flag","Hepatitis C (viral, acute)§, Confirmed, Current week","Hepatitis C (viral, acute)§, Confirmed, Current week, flag","Hepatitis C (viral, acute), Confirmed, Previous 52 weeks Max","Hepatitis C (viral, acute)§, Previous 52 weeks Max† , flag","Hepatitis C (viral, acute)§, Confirmed, Cum 2019†","Hepatitis C (viral, acute)§, Confirmed, Cum 2019†, flag","Hepatitis C (viral, acute)§, Confirmed, Cum 2018†","Hepatitis C (viral, acute)§, Confirmed, Cum 2018†, flag","Hepatitis C (viral, acute)§,  Probable, Current week","Hepatitis C (viral, acute)§, Probable, Current week, flag","Hepatitis C (viral, acute)§, Probable, Previous 52 weeks Max† ","Hepatitis C (viral, acute)§, Probable, Previous 52 weeks Max† , flag","Hepatitis C (viral, acute)§, Probable, Cum 2019†","Hepatitis C (viral, acute)§, Probable, Cum 2019†, flag","Hepatitis C (viral, acute)§, Probable, Cum 2018†","Hepatitis C (viral, acute)§, Probable, Cum 2018†, flag",Location 1,Location 2,,,,
EAST NORTH CENTRAL,2019,3,,-,1,,,-,,-,1,,25,,2,,42,,,-,15,,,NP,6,,,EAST NORTH CENTRAL,,,,
WEST NORTH CENTRAL,2019,3,,-,0,,,-,,-,,-,8,,2,,12,,,-,1,,,NP,,-,,WEST NORTH CENTRAL,,,,
SOUTH ATLANTIC,2019,3,,-,2,,,-,,-,1,,46,,2,,42,,,-,38,,,NP,6,,,SOUTH ATLANTIC,,,,
MICHIGAN,2019,3,,-,1,,,-,,-,,-,6,,,-,7,,,-,3,,,NP,3,,"MICHIGAN
(44.66399, -84.711206)",,,,,
NORTHERN MARIANA ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,,,,
VIRGINIA,2019,3,,-,0,,,-,,-,,-,2,,,-,1,,,-,4,,,NP,,-,"VIRGINIA
(37.542699, -78.45822)",,,,,
TEXAS,2019,3,,-,0,,,-,,-,,-,3,,1,,2,,,-,3,,,NP,,-,"TEXAS
(31.827233, -99.423022)",,,,,
WEST VIRGINIA,2019,3,,-,0,,,-,,-,,-,12,,,-,1,,,-,31,,,NP,1,,"WEST VIRGINIA
(38.668501, -80.709421)",,,,,
ILLINOIS,2019,3,,-,0,,,-,,-,,-,4,,,-,2,,,-,2,,,NP,1,,"ILLINOIS
(40.477092, -88.993221)",,,,,
NON-US RESIDENTS,2019,3,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,NP,,NP,,NON-US RESIDENTS,,,,
DISTRICT OF COLUMBIA,2019,3,,U,,NC,,U,,U,,-,0,,,-,,-,,-,0,,,NP,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",,,,,
VERMONT,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,NP,,-,"VERMONT
(43.622479, -72.51927)",,,,,
NEW YORK CITY,2019,3,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,NP,,-,,NEW YORK CITY,,,,
ALABAMA,2019,3,,-,0,,,-,,-,,-,15,,2,,4,,,-,7,,,NP,1,,"ALABAMA
(32.839182, -86.631125)",,,,,
WEST SOUTH CENTRAL,2019,3,,-,0,,,-,,-,1,,6,,2,,2,,,-,4,,,NP,1,,,WEST SOUTH CENTRAL,,,,
WISCONSIN,2019,3,,-,0,,,-,,-,,-,6,,,-,4,,,-,1,,,NP,,-,"WISCONSIN
(44.395526, -89.834513)",,,,,
EAST SOUTH CENTRAL,2019,3,,-,1,,,-,,-,1,,24,,4,,19,,,-,11,,,NP,9,,,EAST SOUTH CENTRAL,,,,
MONTANA,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,NP,,-,"MONTANA
(47.062617, -109.430168)",,,,,
DELAWARE,2019,3,,-,0,,,-,,-,,-,5,,,-,2,,,-,1,,,NP,,-,"DELAWARE
(39.008676, -75.574561)",,,,,
PUERTO RICO,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"PUERTO RICO
(18.215692, -66.414655)",,,,,
MASSACHUSETTS,2019,3,,-,0,,,-,,-,,-,5,,,-,10,,,-,2,,,NP,,-,"MASSACHUSETTS
(42.268546, -72.085064)",,,,,
GEORGIA,2019,3,,-,1,,,-,,-,,-,5,,1,,9,,,-,4,,,NP,2,,"GEORGIA
(32.836038, -83.631709)",,,,,
COLORADO,2019,3,,-,0,,,-,,-,,-,3,,1,,4,,,-,2,,,NP,2,,"COLORADO
(38.841772, -106.132562)",,,,,
OKLAHOMA,2019,3,,-,0,,,-,,-,,-,4,,,-,,-,,-,2,,,NP,,-,"OKLAHOMA
(35.468494, -97.521264)",,,,,
OREGON,2019,3,,-,0,,,-,,-,1,,2,,1,,,-,,-,2,,,NP,,-,"OREGON
(44.567912, -120.156945)",,,,,
MARYLAND,2019,3,,-,0,,,-,,-,1,,2,,1,,3,,,-,1,,,NP,,-,"MARYLAND
(39.290443, -76.612333)",,,,,
SOUTH CAROLINA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",,,,,
NEW MEXICO,2019,3,,-,0,,,-,,-,1,,2,,1,,2,,,-,1,,,NP,,-,"NEW MEXICO
(34.520396, -106.244402)",,,,,
ARIZONA,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"ARIZONA
(34.869712, -111.760902)",,,,,
MINNESOTA,2019,3,,-,0,,,-,,-,,-,3,,,-,3,,,-,0,,,NP,,-,"MINNESOTA
(46.357661, -94.793397)",,,,,
TOTAL,2019,3,,-,2,,1,,1,,7,,95,,20,,175,,,-,54,,,NP,31,,,TOTAL,,,,
MOUNTAIN,2019,3,,-,1,,,-,,-,1,,8,,3,,14,,,-,6,,,NP,5,,,MOUNTAIN,,,,
NEW JERSEY,2019,3,,-,0,,,-,,-,,-,6,,,-,4,,,-,2,,,NP,2,,"NEW JERSEY
(40.104655, -74.386686)",,,,,
MISSOURI,2019,4,,-,0,,,-,,-,,-,5,,2,,5,,,-,0,,,NP,,-,"MISSOURI
(38.636168, -92.566292)",,,,,
MAINE,2019,4,,-,0,,,-,,-,,-,3,,4,,1,,,-,2,,,NP,,-,"MAINE
(45.252223, -68.986647)",,,,,
TENNESSEE,2019,4,,-,1,,,-,,-,,-,10,,3,,8,,,-,3,,,NP,8,,"TENNESSEE
(35.681402, -85.774444)",,,,,
MICHIGAN,2019,4,,-,1,,,-,,-,,-,6,,2,,10,,,-,3,,,NP,4,,"MICHIGAN
(44.66399, -84.711206)",,,,,
AMERICAN SAMOA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,,AMERICAN SAMOA,,,,
GUAM,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"GUAM
(13.3532, 144.653198)",,,,,
NEW YORK,2019,4,,-,0,,,-,,-,4,,13,,5,,10,,,-,1,,,NP,,-,"NEW YORK
(42.826892, -75.544286)",,,,,
MASSACHUSETTS,2019,4,,-,0,,,-,,-,,-,5,,,-,11,,,-,2,,,NP,1,,"MASSACHUSETTS
(42.268546, -72.085064)",,,,,
ILLINOIS,2019,4,,-,0,,,-,,-,,-,5,,,-,3,,,-,2,,,NP,2,,"ILLINOIS
(40.477092, -88.993221)",,,,,
NEW JERSEY,2019,4,,-,0,,,-,,-,,-,6,,,-,10,,,-,2,,,NP,2,,"NEW JERSEY
(40.104655, -74.386686)",,,,,
TEXAS,2019,4,,-,0,,,-,,-,,-,3,,1,,2,,,-,3,,,NP,,-,"TEXAS
(31.827233, -99.423022)",,,,,
SOUTH DAKOTA,2019,4,,-,0,,,-,,-,,-,3,,,-,2,,,-,0,,,NP,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",,,,,
DISTRICT OF COLUMBIA,2019,4,,U,,NC,,U,,U,,-,0,,,-,,-,,-,0,,,NP,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",,,,,
MARYLAND,2019,4,,-,0,,,-,,-,1,,2,,2,,4,,,-,1,,,NP,,-,"MARYLAND
(39.290443, -76.612333)",,,,,
PUERTO RICO,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"PUERTO RICO
(18.215692, -66.414655)",,,,,
IDAHO,2019,4,,-,0,,,-,,-,1,,1,,2,,1,,,-,1,,,NP,,-,"IDAHO
(43.680635, -114.364237)",,,,,
EAST SOUTH CENTRAL,2019,4,,-,1,,,-,,-,,-,24,,4,,21,,,-,11,,,NP,10,,,EAST SOUTH CENTRAL,,,,
OKLAHOMA,2019,4,,-,0,,,-,,-,,-,4,,,-,,-,,-,2,,,NP,,-,"OKLAHOMA
(35.468494, -97.521264)",,,,,
WYOMING,2019,4,,-,0,,,-,,-,,-,2,,1,,,-,,-,0,,,NP,,-,"WYOMING
(43.23558, -108.110518)",,,,,
SOUTH CAROLINA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",,,,,
WEST VIRGINIA,2019,4,,-,0,,,-,,-,,-,14,,1,,1,,,-,36,,,NP,1,,"WEST VIRGINIA
(38.668501, -80.709421)",,,,,
PACIFIC,2019,4,,-,1,,,-,2,,,-,12,,4,,11,,,-,4,,,NP,2,,,PACIFIC,,,,
MIDDDLE ATLANTIC,2019,4,,-,1,,,-,,-,4,,17,,6,,40,,,-,2,,,NP,2,,,MIDDDLE ATLANTIC,,,,
NEW HAMPSHIRE,2019,4,,-,0,,,-,,-,,-,4,,,-,1,,,-,2,,,NP,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",,,,,
MISSISSIPPI,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"MISSISSIPPI
(32.738663, -89.537312)",,,,,
MONTANA,2019,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,NP,,-,"MONTANA
(47.062617, -109.430168)",,,,,
DELAWARE,2019,4,,-,0,,,-,,-,,-,5,,,-,2,,,-,1,,,NP,,-,"DELAWARE
(39.008676, -75.574561)",,,,,
MINNESOTA,2019,4,,-,0,,,-,,-,,-,3,,,-,3,,,-,0,,,NP,,-,"MINNESOTA
(46.357661, -94.793397)",,,,,
CONNECTICUT,2019,4,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,NP,,-,"CONNECTICUT
(41.544654, -72.651713)",,,,,
NEW YORK CITY,2019,4,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,NP,,-,,NEW YORK CITY,,,,
ARKANSAS,2019,4,,-,0,,,-,,-,1,,5,,6,,,-,,-,0,,,NP,,-,"ARKANSAS
(34.748745, -92.275105)",,,,,
NORTHERN MARIANA ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,,,,
WEST NORTH CENTRAL,2019,4,,-,0,,,-,,-,,-,8,,2,,14,,,-,1,,,NP,1,,,WEST NORTH CENTRAL,,,,
KENTUCKY,2019,4,,-,0,,,-,,-,,-,8,,,-,9,,,-,7,,,NP,1,,"KENTUCKY
(37.64591, -84.774043)",,,,,
NEW ENGLAND,2019,4,,-,0,,,-,,-,,-,8,,4,,14,,,-,4,,,NP,1,,,NEW ENGLAND,,,,
US TERRITORIES,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,,US TERRITORIES,,,,
IOWA,2019,4,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,NP,,-,"IOWA
(42.46942, -93.815856)",,,,,
MOUNTAIN,2019,4,,-,1,,,-,,-,1,,8,,8,,18,,,-,5,,,NP,7,,,MOUNTAIN,,,,
ALABAMA,2019,4,,-,0,,,-,,-,,-,15,,1,,4,,,-,7,,,NP,1,,"ALABAMA
(32.839182, -86.631125)",,,,,
CALIFORNIA,2019,4,,-,1,,,-,2,,,-,6,,3,,9,,,-,2,,,NP,2,,"CALIFORNIA
(37.640735, -121.002435)",,,,,
WEST SOUTH CENTRAL,2019,4,,-,0,,,-,,-,1,,6,,7,,2,,,-,4,,,NP,1,,,WEST SOUTH CENTRAL,,,,
NEBRASKA,2019,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,NP,,-,"NEBRASKA
(41.640503, -99.367122)",,,,,
WASHINGTON,2019,4,,-,0,,,-,,-,,-,8,,,-,2,,,-,2,,,NP,,-,"WASHINGTON
(47.517368, -120.467672)",,,,,
PENNSYLVANIA,2019,4,,-,1,,,-,,-,,-,8,,1,,20,,,-,1,,,NP,,-,"PENNSYLVANIA
(40.789676, -77.858055)",,,,,
ARIZONA,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"ARIZONA
(34.869712, -111.760902)",,,,,
COLORADO,2019,4,,-,0,,,-,,-,,-,3,,1,,4,,,-,2,,,NP,4,,"COLORADO
(38.841772, -106.132562)",,,,,
OREGON,2019,4,,-,0,,,-,,-,,-,2,,1,,,-,,-,2,,,NP,,-,"OREGON
(44.567912, -120.156945)",,,,,
WISCONSIN,2019,4,,-,0,,,-,,-,,-,6,,,-,6,,,-,1,,,NP,,-,"WISCONSIN
(44.395526, -89.834513)",,,,,
TOTAL,2019,4,1,,2,,1,,2,,11,,93,,50,,240,,,-,62,,,NP,45,,,TOTAL,,,,
UTAH,2019,4,,-,0,,,-,,-,,-,5,,3,,10,,,-,3,,,NP,3,,"UTAH
(39.359772, -111.584173)",,,,,
GEORGIA,2019,4,,-,1,,,-,,-,,-,5,,1,,10,,,-,4,,,NP,3,,"GEORGIA
(32.836038, -83.631709)",,,,,
SOUTH ATLANTIC,2019,4,1,,2,,1,,,-,1,,48,,6,,64,,,-,43,,,NP,12,,,SOUTH ATLANTIC,,,,
RHODE ISLAND,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"RHODE ISLAND
(41.707447, -71.522488)",,,,,
EAST NORTH CENTRAL,2019,4,,-,1,,,-,,-,4,,25,,9,,56,,,-,15,,,NP,9,,,EAST NORTH CENTRAL,,,,
US RESIDENTS,2019,4,1,,2,,1,,2,,11,,93,,50,,240,,,-,62,,,NP,45,,,US RESIDENTS,,,,
NORTH DAKOTA,2019,4,,-,0,,,-,,-,,-,2,,,-,2,,,-,1,,,NP,,-,"NORTH DAKOTA
(47.475879, -100.121011)",,,,,
HAWAII,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"HAWAII
(21.30992, -157.858158)",,,,,
NON-US RESIDENTS,2019,4,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,NP,,NP,,NON-US RESIDENTS,,,,
LOUISIANA,2019,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,NP,1,,"LOUISIANA
(31.2931, -92.463284)",,,,,
ALASKA,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"ALASKA
(64.836661, -147.738891)",,,,,
INDIANA,2019,4,,-,0,,,-,,-,,-,9,,,-,11,,,-,5,,,NP,1,,"INDIANA
(39.76845, -86.156212)",,,,,
NEVADA,2019,4,,-,0,,,-,,-,,-,2,,,-,1,,,-,2,,,NP,,-,"NEVADA
(39.491833, -117.070159)",,,,,
FLORIDA,2019,4,,-,1,,,-,,-,,-,42,,,-,38,,,-,4,,,NP,2,,"FLORIDA
(28.915325, -81.922409)",,,,,
OHIO,2019,4,,-,1,,,-,,-,4,,10,,7,,26,,,-,11,,,NP,2,,"OHIO
(40.056807, -82.405897)",,,,,
VERMONT,2019,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,NP,,-,"VERMONT
(43.622479, -72.51927)",,,,,
NEW MEXICO,2019,4,,-,0,,,-,,-,,-,3,,1,,2,,,-,1,,,NP,,-,"NEW MEXICO
(34.520396, -106.244402)",,,,,
NORTH CAROLINA,2019,4,,-,0,,,-,,-,,-,7,,,-,7,,,-,3,,,NP,2,,"NORTH CAROLINA
(35.47995, -79.180571)",,,,,
U.S. VIRGIN ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,,,,
VIRGINIA,2019,4,1,,0,,1,,,-,,-,2,,2,,2,,,-,4,,,NP,4,,"VIRGINIA
(37.542699, -78.45822)",,,,,
KANSAS,2019,4,,-,0,,,-,,-,,-,2,,,-,2,,,-,1,,,NP,1,,"KANSAS
(38.345528, -98.201847)",,,,,
NON-US RESIDENTS,2019,5,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,NP,,NP,,NON-US RESIDENTS,,,,
NEW YORK,2019,5,,-,0,,,-,,-,5,,15,,10,,17,,,-,1,,,NP,,-,"NEW YORK
(42.826892, -75.544286)",,,,,
PENNSYLVANIA,2019,5,,-,1,,,-,,-,1,,8,,2,,20,,,-,1,,,NP,1,,"PENNSYLVANIA
(40.789676, -77.858055)",,,,,
VERMONT,2019,5,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,NP,,-,"VERMONT
(43.622479, -72.51927)",,,,,
MISSISSIPPI,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"MISSISSIPPI
(32.738663, -89.537312)",,,,,
CALIFORNIA,2019,5,,-,1,,,-,2,,,-,6,,4,,11,,,-,2,,,NP,2,,"CALIFORNIA
(37.640735, -121.002435)",,,,,
DELAWARE,2019,5,,-,0,,,-,,-,,-,5,,,-,2,,,-,1,,,NP,,-,"DELAWARE
(39.008676, -75.574561)",,,,,
PACIFIC,2019,5,,-,1,,,-,2,,,-,12,,5,,16,,,-,4,,,NP,2,,,PACIFIC,,,,
NEVADA,2019,5,,-,0,,,-,,-,,-,2,,,-,2,,,-,2,,,NP,,-,"NEVADA
(39.491833, -117.070159)",,,,,
CONNECTICUT,2019,5,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,NP,,-,"CONNECTICUT
(41.544654, -72.651713)",,,,,
WEST VIRGINIA,2019,5,,-,0,,,-,,-,,-,15,,1,,1,,,-,35,,,NP,3,,"WEST VIRGINIA
(38.668501, -80.709421)",,,,,
GUAM,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"GUAM
(13.3532, 144.653198)",,,,,
OKLAHOMA,2019,5,,-,0,,,-,,-,,-,4,,,-,,-,,-,2,,,NP,,-,"OKLAHOMA
(35.468494, -97.521264)",,,,,
EAST NORTH CENTRAL,2019,5,,-,1,,,-,,-,4,,25,,15,,71,,,-,15,,,NP,13,,,EAST NORTH CENTRAL,,,,
IDAHO,2019,5,,-,0,,,-,,-,,-,1,,2,,2,,,-,1,,,NP,,-,"IDAHO
(43.680635, -114.364237)",,,,,
SOUTH DAKOTA,2019,5,,-,0,,,-,,-,,-,3,,,-,2,,,-,0,,,NP,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",,,,,
ALABAMA,2019,5,,-,0,,,-,,-,,-,15,,1,,9,,,-,8,,,NP,1,,"ALABAMA
(32.839182, -86.631125)",,,,,
US RESIDENTS,2019,5,,-,2,,1,,2,,15,,93,,78,,308,,,-,62,,,NP,63,,,US RESIDENTS,,,,
WISCONSIN,2019,5,,-,0,,,-,,-,,-,6,,,-,8,,,-,1,,,NP,,-,"WISCONSIN
(44.395526, -89.834513)",,,,,
IOWA,2019,5,,-,0,,,-,,-,,-,2,,1,,,-,,-,0,,,NP,,-,"IOWA
(42.46942, -93.815856)",,,,,
KANSAS,2019,5,,-,0,,,-,,-,,-,2,,1,,2,,,-,0,,,NP,1,,"KANSAS
(38.345528, -98.201847)",,,,,
NEBRASKA,2019,5,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,NP,,-,"NEBRASKA
(41.640503, -99.367122)",,,,,
ALASKA,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"ALASKA
(64.836661, -147.738891)",,,,,
RHODE ISLAND,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"RHODE ISLAND
(41.707447, -71.522488)",,,,,
ARKANSAS,2019,5,,-,0,,,-,,-,,-,6,,7,,,-,,-,0,,,NP,,-,"ARKANSAS
(34.748745, -92.275105)",,,,,
LOUISIANA,2019,5,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,NP,1,,"LOUISIANA
(31.2931, -92.463284)",,,,,
TOTAL,2019,5,,-,2,,1,,2,,15,,93,,78,,308,,,-,62,,,NP,63,,,TOTAL,,,,
UTAH,2019,5,,-,0,,,-,,-,,-,5,,6,,10,,,-,3,,,NP,3,,"UTAH
(39.359772, -111.584173)",,,,,
MIDDDLE ATLANTIC,2019,5,,-,1,,,-,,-,6,,17,,12,,51,,,-,2,,,NP,3,,,MIDDDLE ATLANTIC,,,,
NEW MEXICO,2019,5,,-,0,,,-,,-,,-,3,,1,,2,,,-,1,,,NP,1,,"NEW MEXICO
(34.520396, -106.244402)",,,,,
WASHINGTON,2019,5,,-,0,,,-,,-,,-,8,,,-,5,,,-,2,,,NP,,-,"WASHINGTON
(47.517368, -120.467672)",,,,,
INDIANA,2019,5,,-,0,,,-,,-,,-,9,,,-,15,,,-,5,,,NP,1,,"INDIANA
(39.76845, -86.156212)",,,,,
OREGON,2019,5,,-,0,,,-,,-,,-,2,,1,,,-,,-,2,,,NP,,-,"OREGON
(44.567912, -120.156945)",,,,,
EAST SOUTH CENTRAL,2019,5,,-,1,,,-,,-,,-,24,,6,,32,,,-,16,,,NP,12,,,EAST SOUTH CENTRAL,,,,
MAINE,2019,5,,-,0,,,-,,-,,-,3,,4,,1,,,-,2,,,NP,,-,"MAINE
(45.252223, -68.986647)",,,,,
ILLINOIS,2019,5,,-,0,,,-,,-,,-,5,,,-,3,,,-,2,,,NP,2,,"ILLINOIS
(40.477092, -88.993221)",,,,,
GEORGIA,2019,5,,-,1,,,-,,-,,-,5,,1,,12,,,-,4,,,NP,3,,"GEORGIA
(32.836038, -83.631709)",,,,,
WYOMING,2019,5,,-,0,,,-,,-,,-,2,,1,,,-,,-,0,,,NP,,-,"WYOMING
(43.23558, -108.110518)",,,,,
HAWAII,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"HAWAII
(21.30992, -157.858158)",,,,,
WEST SOUTH CENTRAL,2019,5,,-,0,,,-,,-,1,,6,,9,,3,,,-,4,,,NP,4,,,WEST SOUTH CENTRAL,,,,
NORTH CAROLINA,2019,5,,-,0,,,-,,-,,-,7,,,-,9,,,-,3,,,NP,4,,"NORTH CAROLINA
(35.47995, -79.180571)",,,,,
MONTANA,2019,5,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,NP,,-,"MONTANA
(47.062617, -109.430168)",,,,,
COLORADO,2019,5,,-,0,,,-,,-,1,,3,,2,,4,,,-,1,,,NP,4,,"COLORADO
(38.841772, -106.132562)",,,,,
VIRGINIA,2019,5,,-,1,,1,,,-,1,,2,,3,,3,,,-,3,,,NP,5,,"VIRGINIA
(37.542699, -78.45822)",,,,,
NEW YORK CITY,2019,5,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,NP,,-,,NEW YORK CITY,,,,
US TERRITORIES,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,,US TERRITORIES,,,,
KENTUCKY,2019,5,,-,0,,,-,,-,,-,8,,,-,11,,,-,7,,,NP,3,,"KENTUCKY
(37.64591, -84.774043)",,,,,
TENNESSEE,2019,5,,-,1,,,-,,-,,-,10,,5,,12,,,-,3,,,NP,8,,"TENNESSEE
(35.681402, -85.774444)",,,,,
AMERICAN SAMOA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,,AMERICAN SAMOA,,,,
OHIO,2019,5,,-,1,,,-,,-,4,,10,,12,,33,,,-,11,,,NP,5,,"OHIO
(40.056807, -82.405897)",,,,,
NEW ENGLAND,2019,5,,-,0,,,-,,-,,-,8,,4,,17,,,-,4,,,NP,3,,,NEW ENGLAND,,,,
PUERTO RICO,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"PUERTO RICO
(18.215692, -66.414655)",,,,,
NEW JERSEY,2019,5,,-,0,,,-,,-,,-,5,,,-,13,,,-,2,,,NP,2,,"NEW JERSEY
(40.104655, -74.386686)",,,,,
DISTRICT OF COLUMBIA,2019,5,,U,,NC,,U,,U,,-,0,,,-,,-,,-,0,,,NP,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",,,,,
TEXAS,2019,5,,-,0,,,-,,-,1,,3,,2,,3,,,-,3,,,NP,3,,"TEXAS
(31.827233, -99.423022)",,,,,
SOUTH ATLANTIC,2019,5,,-,2,,1,,,-,1,,49,,7,,81,,,-,42,,,NP,17,,,SOUTH ATLANTIC,,,,
NORTHERN MARIANA ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,,,,
MASSACHUSETTS,2019,5,,-,0,,,-,,-,,-,5,,,-,14,,,-,2,,,NP,2,,"MASSACHUSETTS
(42.268546, -72.085064)",,,,,
NEW HAMPSHIRE,2019,5,,-,0,,,-,,-,,-,4,,,-,1,,,-,2,,,NP,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",,,,,
MOUNTAIN,2019,5,,-,1,,,-,,-,1,,8,,12,,20,,,-,5,,,NP,8,,,MOUNTAIN,,,,
WEST NORTH CENTRAL,2019,5,,-,0,,,-,,-,2,,8,,8,,17,,,-,1,,,NP,1,,,WEST NORTH CENTRAL,,,,
MARYLAND,2019,5,,-,0,,,-,,-,,-,2,,2,,4,,,-,1,,,NP,,-,"MARYLAND
(39.290443, -76.612333)",,,,,
MISSOURI,2019,5,,-,0,,,-,,-,2,,5,,6,,5,,,-,0,,,NP,,-,"MISSOURI
(38.636168, -92.566292)",,,,,
SOUTH CAROLINA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",,,,,
U.S. VIRGIN ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,,,,
MINNESOTA,2019,5,,-,0,,,-,,-,,-,3,,,-,5,,,-,0,,,NP,,-,"MINNESOTA
(46.357661, -94.793397)",,,,,
FLORIDA,2019,5,,-,1,,,-,,-,,-,42,,,-,50,,,-,4,,,NP,2,,"FLORIDA
(28.915325, -81.922409)",,,,,
ARIZONA,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"ARIZONA
(34.869712, -111.760902)",,,,,
MICHIGAN,2019,5,,-,1,,,-,,-,,-,6,,3,,12,,,-,3,,,NP,5,,"MICHIGAN
(44.66399, -84.711206)",,,,,
NORTH DAKOTA,2019,5,,-,0,,,-,,-,,-,2,,,-,3,,,-,1,,,NP,,-,"NORTH DAKOTA
(47.475879, -100.121011)",,,,,
INDIANA,2019,6,,-,0,,,-,,-,,-,9,,,-,21,,,-,5,,,NP,1,,"INDIANA
(39.76845, -86.156212)",,,,,
